pokemon,version,method,location_area,min_level,max_level,chance,conditions
poochyena,emerald,walk,Petalburg Woods,5,5,20,
poochyena,emerald,walk,Petalburg Woods,6,6,10,
poochyena,emerald,walk,Hoenn Route 101,2,2,20,
poochyena,emerald,walk,Hoenn Route 101,3,3,10,
poochyena,emerald,walk,Hoenn Route 101,3,3,5,
poochyena,emerald,walk,Hoenn Route 102,3,3,20,
poochyena,emerald,walk,Hoenn Route 102,4,4,10,
poochyena,emerald,walk,Hoenn Route 103,2,2,20,
poochyena,emerald,walk,Hoenn Route 103,3,3,20,
poochyena,emerald,walk,Hoenn Route 103,3,3,10,
poochyena,emerald,walk,Hoenn Route 103,4,4,10,
poochyena,emerald,walk,Hoenn Route 104,4,4,20,
poochyena,emerald,walk,Hoenn Route 104,5,5,10,
poochyena,emerald,walk,Hoenn Route 110,12,12,20,
poochyena,emerald,walk,Hoenn Route 116,6,6,20,
poochyena,emerald,walk,Hoenn Route 116,7,7,4,
poochyena,emerald,walk,Hoenn Route 116,8,8,4,
poochyena,emerald,walk,Hoenn Route 117,13,13,20,
poochyena,emerald,walk,Hoenn Route 117,14,14,10,
poochyena,emerald,walk,Hoenn Route 120,25,25,20,
poochyena,emerald,walk,Hoenn Route 121,26,26,20,
poochyena,emerald,walk,Hoenn Route 123,26,26,20,
zigzagoon,emerald,walk,Hoenn Route 101,2,2,4,
zigzagoon,emerald,walk,Hoenn Route 101,3,3,1,
zigzagoon,emerald,walk,Hoenn Route 102,3,3,5,
zigzagoon,emerald,walk,Hoenn Route 102,4,4,4,
zigzagoon,emerald,walk,Hoenn Route 102,4,4,1,
zigzagoon,emerald,walk,Hoenn Route 103,3,3,10,
zigzagoon,emerald,walk,Hoenn Route 103,3,3,5,
zigzagoon,emerald,walk,Hoenn Route 103,4,4,5,
zigzagoon,emerald,walk,Hoenn Route 118,24,24,20,
zigzagoon,emerald,walk,Hoenn Route 118,26,26,10,
zigzagoon,emerald,walk,Hoenn Route 119,25,25,20,
zigzagoon,emerald,walk,Hoenn Route 119,27,27,10,
wurmple,emerald,walk,Petalburg Woods,5,5,20,
wurmple,emerald,walk,Petalburg Woods,6,6,5,
wurmple,emerald,walk,Hoenn Route 101,2,2,20,
wurmple,emerald,walk,Hoenn Route 101,2,2,10,
wurmple,emerald,walk,Hoenn Route 101,3,3,10,
wurmple,emerald,walk,Hoenn Route 101,3,3,5,
wurmple,emerald,walk,Hoenn Route 102,3,3,20,
wurmple,emerald,walk,Hoenn Route 102,4,4,10,
wurmple,emerald,walk,Hoenn Route 104,4,4,20,
lotad,emerald,walk,Hoenn Route 102,3,3,10,
lotad,emerald,walk,Hoenn Route 102,4,4,10,
lotad,emerald,walk,Hoenn Route 114,16,16,20,
lotad,emerald,walk,Hoenn Route 114,15,15,10,
seedot,emerald,walk,Hoenn Route 102,3,3,1,
seedot,emerald,walk,Hoenn Route 117,13,13,1,
seedot,emerald,walk,Hoenn Route 120,25,25,1,
taillow,emerald,walk,Petalburg Woods,5,5,4,
taillow,emerald,walk,Petalburg Woods,6,6,1,
taillow,emerald,walk,Hoenn Route 104,4,4,5,
taillow,emerald,walk,Hoenn Route 104,5,5,5,
taillow,emerald,walk,Hoenn Route 115,23,23,20,
taillow,emerald,walk,Hoenn Route 115,24,24,10,
taillow,emerald,walk,Hoenn Route 115,25,25,10,
taillow,emerald,walk,Hoenn Route 116,6,6,10,
taillow,emerald,walk,Hoenn Route 116,7,7,5,
taillow,emerald,walk,Hoenn Route 116,8,8,5,
wingull,emerald,walk,Mt Pyre Outside,27,27,4,
wingull,emerald,walk,Mt Pyre Outside,26,26,1,
wingull,emerald,walk,Mt Pyre Outside,28,28,1,
wingull,emerald,walk,Hoenn Route 103,2,2,10,
wingull,emerald,walk,Hoenn Route 103,3,3,4,
wingull,emerald,walk,Hoenn Route 103,2,2,1,
wingull,emerald,walk,Hoenn Route 103,4,4,1,
wingull,emerald,walk,Hoenn Route 104,4,4,4,
wingull,emerald,walk,Hoenn Route 104,3,3,1,
wingull,emerald,walk,Hoenn Route 104,5,5,1,
wingull,emerald,walk,Hoenn Route 110,12,12,4,
wingull,emerald,walk,Hoenn Route 115,24,24,4,
wingull,emerald,walk,Hoenn Route 115,26,26,1,
wingull,emerald,walk,Hoenn Route 115,25,25,1,
wingull,emerald,walk,Hoenn Route 118,25,25,5,
wingull,emerald,walk,Hoenn Route 118,26,26,4,
wingull,emerald,walk,Hoenn Route 118,27,27,1,
wingull,emerald,walk,Hoenn Route 121,26,26,4,
wingull,emerald,walk,Hoenn Route 121,27,27,4,
wingull,emerald,walk,Hoenn Route 121,28,28,1,
wingull,emerald,walk,Hoenn Route 123,26,26,4,
wingull,emerald,walk,Hoenn Route 123,27,27,4,
wingull,emerald,walk,Hoenn Route 123,28,28,1,
ralts,emerald,walk,Hoenn Route 102,4,4,4,
shroomish,emerald,walk,Petalburg Woods,5,5,10,
shroomish,emerald,walk,Petalburg Woods,6,6,5,
slakoth,emerald,walk,Petalburg Woods,5,5,4,
slakoth,emerald,walk,Petalburg Woods,6,6,1,
nincada,emerald,walk,Hoenn Route 116,6,6,10,
nincada,emerald,walk,Hoenn Route 116,7,7,10,
whismur,emerald,walk,Rusturf Tunnel,6,6,20,
whismur,emerald,walk,Rusturf Tunnel,7,7,20,
whismur,emerald,walk,Rusturf Tunnel,6,6,10,
whismur,emerald,walk,Rusturf Tunnel,7,7,10,
whismur,emerald,walk,Rusturf Tunnel,5,5,5,
whismur,emerald,walk,Rusturf Tunnel,8,8,5,
whismur,emerald,walk,Rusturf Tunnel,5,5,4,
whismur,emerald,walk,Rusturf Tunnel,8,8,4,
whismur,emerald,walk,Rusturf Tunnel,5,5,1,
whismur,emerald,walk,Rusturf Tunnel,8,8,1,
whismur,emerald,walk,Hoenn Victory Road 1f,36,36,4,
whismur,emerald,walk,Hoenn Victory Road 1f,36,36,1,
whismur,emerald,walk,Hoenn Route 116,6,6,20,
whismur,emerald,walk,Desert Underpass,35,35,20,
whismur,emerald,walk,Desert Underpass,36,36,10,
whismur,emerald,walk,Desert Underpass,38,38,4,
makuhita,emerald,walk,Granite Cave 1f,8,8,20,
makuhita,emerald,walk,Granite Cave 1f,7,7,10,
makuhita,emerald,walk,Granite Cave 1f,9,9,10,
makuhita,emerald,walk,Granite Cave 1f,10,10,5,
makuhita,emerald,walk,Granite Cave 1f,6,6,5,
makuhita,emerald,walk,Granite Cave B1f,10,10,5,
makuhita,emerald,walk,Granite Cave B1f,11,11,5,
makuhita,emerald,walk,Granite Cave 1fsmall Room,8,8,20,
makuhita,emerald,walk,Granite Cave 1fsmall Room,7,7,10,
makuhita,emerald,walk,Granite Cave 1fsmall Room,9,9,10,
makuhita,emerald,walk,Granite Cave 1fsmall Room,10,10,5,
makuhita,emerald,walk,Granite Cave 1fsmall Room,6,6,5,
makuhita,emerald,walk,Hoenn Victory Road 1f,36,36,10,
skitty,emerald,walk,Hoenn Route 116,7,7,1,
skitty,emerald,walk,Hoenn Route 116,8,8,1,
mightyena,emerald,walk,Hoenn Route 120,25,25,20,
mightyena,emerald,walk,Hoenn Route 120,27,27,10,
mightyena,emerald,walk,Hoenn Route 121,26,26,10,
mightyena,emerald,walk,Hoenn Route 121,28,28,10,
mightyena,emerald,walk,Hoenn Route 123,26,26,10,
mightyena,emerald,walk,Hoenn Route 123,28,28,10,
linoone,emerald,walk,Hoenn Route 118,26,26,10,
linoone,emerald,walk,Hoenn Route 119,25,25,20,
linoone,emerald,walk,Hoenn Route 119,27,27,10,
silcoon,emerald,walk,Petalburg Woods,5,5,10,
cascoon,emerald,walk,Petalburg Woods,5,5,10,
lombre,emerald,walk,Hoenn Route 114,16,16,10,
lombre,emerald,walk,Hoenn Route 114,16,16,5,
lombre,emerald,walk,Hoenn Route 114,18,18,5,
nuzleaf,emerald,walk,Hoenn Route 114,15,15,1,
swellow,emerald,walk,Hoenn Route 115,25,25,10,
loudred,emerald,walk,Hoenn Victory Road 1f,40,40,10,
loudred,emerald,walk,Desert Underpass,40,40,10,
loudred,emerald,walk,Desert Underpass,38,38,5,
loudred,emerald,walk,Desert Underpass,44,44,1,
hariyama,emerald,walk,Hoenn Victory Road 1f,40,40,20,
hariyama,emerald,walk,Hoenn Victory Road 1f,38,38,5,
hariyama,emerald,walk,Hoenn Victory Road B1f,40,40,20,
hariyama,emerald,walk,Hoenn Victory Road B1f,38,38,10,
hariyama,emerald,walk,Hoenn Victory Road B1f,42,42,5,
sableye,emerald,walk,Granite Cave B1f,10,10,4,
sableye,emerald,walk,Granite Cave B1f,9,9,1,
sableye,emerald,walk,Granite Cave B1f,11,11,1,
sableye,emerald,walk,Granite Cave B2f,10,10,5,
sableye,emerald,walk,Granite Cave B2f,11,11,5,
sableye,emerald,walk,Granite Cave B2f,12,12,4,
sableye,emerald,walk,Granite Cave B2f,10,10,4,
sableye,emerald,walk,Granite Cave B2f,12,12,1,
sableye,emerald,walk,Granite Cave B2f,10,10,1,
sableye,emerald,walk,Cave Of Origin 1f,30,30,10,
sableye,emerald,walk,Cave Of Origin 1f,32,32,10,
sableye,emerald,walk,Cave Of Origin 1f,34,34,10,
sableye,emerald,walk,Cave Of Origin B1f,30,30,10,
sableye,emerald,walk,Cave Of Origin B1f,32,32,10,
sableye,emerald,walk,Cave Of Origin B1f,34,34,10,
sableye,emerald,walk,Cave Of Origin B2f,30,30,10,
sableye,emerald,walk,Cave Of Origin B2f,32,32,10,
sableye,emerald,walk,Cave Of Origin B2f,34,34,10,
sableye,emerald,walk,Cave Of Origin B3f,30,30,10,
sableye,emerald,walk,Cave Of Origin B3f,32,32,10,
sableye,emerald,walk,Cave Of Origin B3f,34,34,10,
sableye,emerald,walk,Hoenn Victory Road B2f,40,40,20,
sableye,emerald,walk,Hoenn Victory Road B2f,42,42,10,
sableye,emerald,walk,Hoenn Victory Road B2f,44,44,5,
sableye,emerald,walk,Sky Pillar 1f,33,33,20,
sableye,emerald,walk,Sky Pillar 1f,34,34,10,
sableye,emerald,walk,Sky Pillar 3f,33,33,20,
sableye,emerald,walk,Sky Pillar 3f,34,34,10,
sableye,emerald,walk,Sky Pillar 5f,33,33,20,
sableye,emerald,walk,Sky Pillar 5f,34,34,10,
mawile,emerald,walk,Hoenn Victory Road B1f,38,38,4,
mawile,emerald,walk,Hoenn Victory Road B1f,38,38,1,
mawile,emerald,walk,Hoenn Victory Road B2f,42,42,4,
mawile,emerald,walk,Hoenn Victory Road B2f,44,44,1,
aron,emerald,walk,Granite Cave B1f,10,10,20,
aron,emerald,walk,Granite Cave B1f,9,9,10,
aron,emerald,walk,Granite Cave B1f,11,11,10,
aron,emerald,walk,Granite Cave B2f,11,11,20,
aron,emerald,walk,Granite Cave B2f,10,10,10,
aron,emerald,walk,Granite Cave B2f,12,12,10,
aron,emerald,walk,Granite Cave 1fsmall Room,7,7,4,
aron,emerald,walk,Granite Cave 1fsmall Room,8,8,4,
aron,emerald,walk,Granite Cave 1fsmall Room,7,7,1,
aron,emerald,walk,Granite Cave 1fsmall Room,8,8,1,
aron,emerald,walk,Hoenn Victory Road 1f,36,36,4,
aron,emerald,walk,Hoenn Victory Road 1f,36,36,1,
electrike,emerald,walk,Hoenn Route 110,12,12,20,
electrike,emerald,walk,Hoenn Route 110,13,13,10,
electrike,emerald,walk,Hoenn Route 118,24,24,20,
electrike,emerald,walk,Hoenn Route 118,26,26,10,
plusle,emerald,walk,Hoenn Route 110,12,12,1,
plusle,emerald,walk,Hoenn Route 110,13,13,1,
minun,emerald,walk,Hoenn Route 110,13,13,10,
minun,emerald,walk,Hoenn Route 110,13,13,5,
volbeat,emerald,walk,Hoenn Route 117,13,13,1,
illumise,emerald,walk,Hoenn Route 117,13,13,5,
illumise,emerald,walk,Hoenn Route 117,14,14,4,
gulpin,emerald,walk,Hoenn Route 110,12,12,10,
gulpin,emerald,walk,Hoenn Route 110,13,13,5,
numel,emerald,walk,Jagged Pass,21,21,20,
numel,emerald,walk,Jagged Pass,20,20,10,
numel,emerald,walk,Jagged Pass,22,22,4,
numel,emerald,walk,Jagged Pass,22,22,1,
numel,emerald,walk,Fiery Path,15,15,20,
numel,emerald,walk,Fiery Path,16,16,10,
numel,emerald,walk,Hoenn Route 112,15,15,20,
numel,emerald,walk,Hoenn Route 112,14,14,10,
numel,emerald,walk,Hoenn Route 112,16,16,5,
numel,emerald,walk,Hoenn Route 112,16,16,4,
numel,emerald,walk,Hoenn Route 112,16,16,1,
torkoal,emerald,walk,Fiery Path,15,15,10,
torkoal,emerald,walk,Fiery Path,14,14,4,
torkoal,emerald,walk,Fiery Path,16,16,4,
torkoal,emerald,walk,Magma Hideout,28,28,20,
torkoal,emerald,walk,Magma Hideout,30,30,10,
spoink,emerald,walk,Jagged Pass,20,20,10,
spoink,emerald,walk,Jagged Pass,21,21,5,
spoink,emerald,walk,Jagged Pass,22,22,4,
spoink,emerald,walk,Jagged Pass,22,22,1,
spinda,emerald,walk,Hoenn Route 113,15,15,20,
spinda,emerald,walk,Hoenn Route 113,14,14,10,
spinda,emerald,walk,Hoenn Route 113,16,16,5,
spinda,emerald,walk,Hoenn Route 113,16,16,4,
spinda,emerald,walk,Hoenn Route 113,16,16,1,
trapinch,emerald,walk,Hoenn Route 111,20,20,20,
trapinch,emerald,walk,Hoenn Route 111,21,21,10,
trapinch,emerald,walk,Hoenn Route 111,19,19,5,
trapinch,emerald,walk,Mirage Tower,21,21,20,
trapinch,emerald,walk,Mirage Tower,20,20,10,
trapinch,emerald,walk,Mirage Tower,22,22,5,
trapinch,emerald,walk,Mirage Tower,23,23,4,
trapinch,emerald,walk,Mirage Tower,24,24,1,
cacnea,emerald,walk,Hoenn Route 111,20,20,4,
cacnea,emerald,walk,Hoenn Route 111,22,22,1,
swablu,emerald,walk,Hoenn Route 114,16,16,20,
swablu,emerald,walk,Hoenn Route 114,17,17,10,
swablu,emerald,walk,Hoenn Route 114,15,15,10,
swablu,emerald,walk,Hoenn Route 115,23,23,20,
swablu,emerald,walk,Hoenn Route 115,25,25,10,
seviper,emerald,walk,Hoenn Route 114,17,17,4,
seviper,emerald,walk,Hoenn Route 114,15,15,4,
seviper,emerald,walk,Hoenn Route 114,17,17,1,
solrock,emerald,walk,Meteor Falls,16,16,10,
solrock,emerald,walk,Meteor Falls,18,18,5,
solrock,emerald,walk,Meteor Falls,14,14,5,
solrock,emerald,walk,Meteor Falls Back,35,35,10,
solrock,emerald,walk,Meteor Falls Back,33,33,10,
solrock,emerald,walk,Meteor Falls Back,37,37,10,
solrock,emerald,walk,Meteor Falls Back,39,39,5,
solrock,emerald,walk,Meteor Falls B1f,35,35,10,
solrock,emerald,walk,Meteor Falls B1f,33,33,10,
solrock,emerald,walk,Meteor Falls B1f,37,37,10,
solrock,emerald,walk,Meteor Falls B1f,39,39,5,
solrock,emerald,walk,Meteor Falls Backsmall Room,35,35,10,
solrock,emerald,walk,Meteor Falls Backsmall Room,37,37,10,
solrock,emerald,walk,Meteor Falls Backsmall Room,39,39,5,
baltoy,emerald,walk,Hoenn Route 111,19,19,10,
baltoy,emerald,walk,Hoenn Route 111,21,21,10,
baltoy,emerald,walk,Hoenn Route 111,20,20,4,
kecleon,emerald,walk,Hoenn Route 118,25,25,1,
kecleon,emerald,walk,Hoenn Route 119,25,25,1,
kecleon,emerald,walk,Hoenn Route 120,25,25,1,
kecleon,emerald,walk,Hoenn Route 121,25,25,1,
kecleon,emerald,walk,Hoenn Route 123,25,25,1,
shuppet,emerald,walk,Mt Pyre 1f,27,27,20,
shuppet,emerald,walk,Mt Pyre 1f,28,28,20,
shuppet,emerald,walk,Mt Pyre 1f,26,26,10,
shuppet,emerald,walk,Mt Pyre 1f,25,25,10,
shuppet,emerald,walk,Mt Pyre 1f,29,29,10,
shuppet,emerald,walk,Mt Pyre 1f,24,24,10,
shuppet,emerald,walk,Mt Pyre 1f,23,23,5,
shuppet,emerald,walk,Mt Pyre 1f,22,22,5,
