pokemon,version,method,location_area,min_level,max_level,chance,conditions
absol,emerald,walk,Cave Of Origin 1f,,,0,
aggron,emerald,walk,Cave Of Origin 1f,,,0,
altaria,emerald,walk,Cave Of Origin 1f,,,0,
anorith,emerald,walk,Cave Of Origin 1f,,,0,
armaldo,emerald,walk,Cave Of Origin 1f,,,0,
aron,emerald,walk,Cave Of Origin 1f,,,0,
azurill,emerald,walk,Cave Of Origin 1f,,,0,
bagon,emerald,walk,Cave Of Origin 1f,,,0,
baltoy,emerald,walk,Cave Of Origin 1f,,,0,
banette,emerald,walk,Cave Of Origin 1f,,,0,
barboach,emerald,walk,Cave Of Origin 1f,,,0,
beautifly,emerald,walk,Cave Of Origin 1f,,,0,
beldum,emerald,walk,Cave Of Origin 1f,,,0,
blaziken,emerald,walk,Cave Of Origin 1f,,,0,
breloom,emerald,walk,Cave Of Origin 1f,,,0,
cacnea,emerald,walk,Cave Of Origin 1f,,,0,
cacturne,emerald,walk,Cave Of Origin 1f,,,0,
camerupt,emerald,walk,Cave Of Origin 1f,,,0,
carvanha,emerald,walk,Cave Of Origin 1f,,,0,
cascoon,emerald,walk,Cave Of Origin 1f,,,0,
castform,emerald,walk,Cave Of Origin 1f,,,0,
chimecho,emerald,walk,Cave Of Origin 1f,,,0,
clamperl,emerald,walk,Cave Of Origin 1f,,,0,
claydol,emerald,walk,Cave Of Origin 1f,,,0,
combusken,emerald,walk,Cave Of Origin 1f,,,0,
corphish,emerald,walk,Cave Of Origin 1f,,,0,
cradily,emerald,walk,Cave Of Origin 1f,,,0,
crawdaunt,emerald,walk,Cave Of Origin 1f,,,0,
delcatty,emerald,walk,Cave Of Origin 1f,,,0,
deoxys-normal,emerald,walk,Cave Of Origin 1f,,,0,
dusclops,emerald,walk,Cave Of Origin 1f,,,0,
duskull,emerald,walk,Cave Of Origin 1f,,,0,
dustox,emerald,walk,Cave Of Origin 1f,,,0,
electrike,emerald,walk,Cave Of Origin 1f,,,0,
exploud,emerald,walk,Cave Of Origin 1f,,,0,
